"","X.1","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL","PELL_COMP_ORIG_YR6_RT","NOPELL_COMP_ORIG_YR6_RT","COMPL_RPY_3YR_RT","PELL_RPY_3YR_RT","NOPELL_RPY_3YR_RT","COMPL_RPY_1YR_RT","PELL_RPY_1YR_RT","NOPELL_RPY_1YR_RT","COSTT4_A","LO_INC_COMP_ORIG_YR4_RT","MD_INC_COMP_ORIG_YR4_RT","HI_INC_COMP_ORIG_YR4_RT"
"106",595,595,"University of Colorado Boulder","Boulder","CO","80309-0017",0.8357,650,29,0.5611041405,0.008,0.0953,0,0.1117,0.0155,0,0.024,0,0.68,52300,54700,57900,"NULL",1,0.547523427,0.5839160839,"0.9386117893","0.8524368231","0.9132737504",0.910899654,"0.8265189148","0.8998518519",27236,0.5024630542,0.5233050847,0.608094768
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",923,923,"Covenant College","Lookout Mountain","GA","30750-4164",0.5743,630,31,0.3439490446,0.0134,0,0,0.0491,0.0045,0,0.0313,0,0.6061,43500,42600,52200,"NULL",1,0.3658536585,0.3520408163,"PrivacySuppressed","0.8634538153","0.911971831",NA,"0.9121621622","0.9479553903",37024,0.2535211268,0.3720930233,0.3684210526
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",3904,3904,"Texas A & M University-College Station","College Station","TX","77843-1248",0.6688,670,30,0.6884430727,0.015,0.1459,0.0302,0.078,0.0077,0,0.0164,0,0.796,64300,62000,64800,"NULL",1,0.6240279938,0.7755385685,"0.9618038838","0.8775090067","0.9439947495",0.9599763698,"0.8954093706","0.9531461762",20669,0.6264329063,0.6656308266,0.7354014599
"24",1577,1577,"Tulane University of Louisiana","New Orleans","LA","70118-5698",0.2727,710,32,0.6128440367,0.0313,0.0276,0,0.0913,0.0098,0,0.0141,0,0.7526,71800,66000,66400,"NULL",1,0.501305483,0.8203497615,"0.9168765743","0.7571428571","0.8940092166",0.8896907216,"0.7013574661","0.8893905192",56484,0.4,0.6255707763,0.7504798464
"46",2711,2711,"Union College","Schenectady","NY","12308-2311",0.3822,700,31,0.8630573248,0.013,0.0872,0,0.1855,0.026,0,0.0686,0,0.8304,69600,67300,72900,"NULL",1,0.8214285714,0.8263157895,"0.9677419355","PrivacySuppressed","PrivacySuppressed",NA,"PrivacySuppressed","PrivacySuppressed",56050,NA,NA,0.8776595745
"71",4158,4158,"University of Washington-Seattle Campus","Seattle","WA","98195-4550",0.5844,700,31,0.681618887,0.024,0.0893,0,0.113,0.0323,0,0.0307,0,0.8081,69700,60600,60500,"NULL",1,0.624875951,0.7667173252,"0.946390963","0.8939910785","0.9340016708",0.9239555625,"0.8682907506","0.9234245544",22753,0.6480686695,0.6788321168,0.7273227048
"101",3866,3866,"Rice University","Houston","TX","77005-1827",0.1671,780,35,0.7911392405,0.0182,0.244,0,0.0942,0.0386,0,0.0443,0,0.9243,74600,83600,81300,"NULL",1,0.6875,0.8689956332,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,"PrivacySuppressed","PrivacySuppressed",50171,0.8390804598,0.7341772152,0.7933333333
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",255,255,"University of California-Irvine","Irvine","CA","92697",0.4746,680,29,0.603946102,0.0288,0.082,0,0.1554,0.0124,0,0.034,0,0.8562,60800,59200,61400,"NULL",1,0.556043956,0.608040201,"0.9492440605","0.907287624","0.9320293399",0.9206680585,"0.8779342723","0.918217222",28781,0.5629973475,0.6097750194,0.6438557763
